institutes,geo.cities,geo.states,geo.countries,input.name,input.city,input.state,input.country
"[{'institute': {'id': 'grid.266436.3', 'name': 'University of Houston', 'city': 'Houston', 'state': 'Texas', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 4699066, 'name': 'Houston'}]","[{'geonames_id': 4736286, 'name': 'Texas', 'code': 'US-TX'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",University of Houston,nan,nan,United States
"[{'institute': {'id': 'grid.207374.5', 'name': 'Zhengzhou University', 'city': 'Zhengzhou', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1784658, 'name': 'Zhengzhou'}]","[{'geonames_id': 1808520, 'name': 'Henan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Zhengzhou University,nan,nan,China
"[{'institute': {'id': 'grid.33199.31', 'name': 'Huazhong University of Science and Technology', 'city': 'Wuhan', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1791247, 'name': 'Wuhan'}]","[{'geonames_id': 1806949, 'name': 'Hubei', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Huazhong University of Science and Technology,nan,nan,China
"[{'institute': {'id': 'grid.7445.2', 'name': 'Imperial College London', 'city': 'London', 'state': 'Westminster', 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2643743, 'name': 'London'}]","[{'geonames_id': 6269131, 'name': 'England', 'code': None}]","[{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]",Imperial College Faculty of Medicine,nan,nan,United Kingdom
"[{'institute': {'id': 'grid.21925.3d', 'name': 'University of Pittsburgh', 'city': 'Pittsburgh', 'state': 'Pennsylvania', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 5206379, 'name': 'Pittsburgh'}]","[{'geonames_id': 6254927, 'name': 'Pennsylvania', 'code': 'US-PA'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",University of Pittsburgh,nan,nan,United States
"[{'institute': {'id': 'grid.256922.8', 'name': 'Henan University', 'city': 'Kaifeng', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1804879, 'name': 'Kaifeng'}]","[{'geonames_id': 1808520, 'name': 'Henan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Henan University,nan,nan,China
[],[],[],"[{'geonames_id': 1880251, 'name': 'Singapore', 'code': 'SG'}]",nan,nan,nan,Singapore
"[{'institute': {'id': 'grid.13648.38', 'name': 'University Medical Center Hamburg-Eppendorf', 'city': 'Hamburg', 'state': 'Hamburg', 'country': 'Germany'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2911298, 'name': 'Hamburg'}]","[{'geonames_id': 2911297, 'name': 'Hamburg', 'code': None}]","[{'geonames_id': 2921044, 'name': 'Germany', 'code': 'DE'}]",University Medical Center Hamburg Eppendorf,nan,nan,Germany
"[{'institute': {'id': 'grid.266102.1', 'name': 'University of California, San Francisco', 'city': 'San Francisco', 'state': 'California', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 5391959, 'name': 'San Francisco'}]","[{'geonames_id': 5332921, 'name': 'California', 'code': 'US-CA'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]","University of California, San Francisco",nan,nan,United States
"[{'institute': {'id': 'grid.31501.36', 'name': 'Seoul National University', 'city': 'Seoul', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1835848, 'name': 'Seoul'}]","[{'geonames_id': 1835847, 'name': 'Seoul', 'code': None}]","[{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]",Seoul National University,nan,nan,South Korea
[],"[{'geonames_id': 1799552, 'name': 'Nanzhou'}]","[{'geonames_id': 1806691, 'name': 'Hunan', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Ministry of Education of China,nan,nan,China
"[{'institute': {'id': 'grid.4280.e', 'name': 'National University of Singapore', 'city': 'Singapore', 'state': None, 'country': 'Singapore'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1880252, 'name': 'Singapore'}]",[],"[{'geonames_id': 1880251, 'name': 'Singapore', 'code': 'SG'}]",National University of Singapore,nan,nan,Singapore
"[{'institute': {'id': 'grid.30760.32', 'name': 'Medical College of Wisconsin', 'city': 'Milwaukee', 'state': 'Wisconsin', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 5263045, 'name': 'Milwaukee'}]","[{'geonames_id': 5279468, 'name': 'Wisconsin', 'code': 'US-WI'}]","[{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]",Medical College of Wisconsin,nan,nan,United States
"[{'institute': {'id': 'grid.8761.8', 'name': 'University of Gothenburg', 'city': 'Gothenburg', 'state': None, 'country': 'Sweden'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2711537, 'name': 'Goeteborg'}]","[{'geonames_id': 3337386, 'name': 'Vaestra Goetaland', 'code': None}]","[{'geonames_id': 2661886, 'name': 'Sweden', 'code': 'SE'}]",University of Gothenburg,nan,nan,Sweden
"[{'institute': {'id': 'grid.265021.2', 'name': 'Tianjin Medical University', 'city': 'Tianjin', 'state': None, 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 1792947, 'name': 'Tianjin'}]","[{'geonames_id': 1792943, 'name': 'Tianjin', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Tianjin Medical University,nan,nan,China
"[{'institute': {'id': 'grid.7445.2', 'name': 'Imperial College London', 'city': 'London', 'state': 'Westminster', 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2643743, 'name': 'London'}]","[{'geonames_id': 6269131, 'name': 'England', 'code': None}]","[{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]",Imperial College London,nan,nan,United Kingdom
"[{'institute': {'id': 'grid.410736.7', 'name': 'Harbin Medical University', 'city': 'Harbin', 'state': 'Heilongjiang', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 2037013, 'name': 'Harbin'}]","[{'geonames_id': 2036965, 'name': 'Heilongjiang', 'code': None}]","[{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]",Harbin Medical University,nan,nan,China
"[{'institute': {'id': 'grid.429182.4', 'name': ""Institut d'Investigació Biomèdica de Girona"", 'city': 'Girona', 'state': None, 'country': 'Spain'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 3121456, 'name': 'Girona'}]","[{'geonames_id': 3336901, 'name': 'Catalonia', 'code': None}]","[{'geonames_id': 2510769, 'name': 'Spain', 'code': 'ES'}]",Biomedical Research Institute of Girona,nan,nan,Spain
"[{'institute': {'id': 'grid.412364.6', 'name': 'Çanakkale Onsekiz Mart University', 'city': 'Çanakkale', 'state': None, 'country': 'Turkey'}, 'metadata': {'requires_manual_review': False}}]","[{'geonames_id': 749780, 'name': 'Canakkale'}]","[{'geonames_id': 749778, 'name': 'Canakkale', 'code': None}]","[{'geonames_id': 298795, 'name': 'Turkey', 'code': 'TR'}]",Çanakkale Onsekiz Mart University,nan,nan,Turkey
