matches,input.affiliation
"[{'institutes': [{'institute': {'id': 'grid.21107.35', 'name': 'Johns Hopkins University', 'city': 'Baltimore', 'state': 'Maryland', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4347778, 'name': 'Baltimore'}], 'states': [{'geonames_id': 4361885, 'name': 'Maryland', 'code': 'US-MD'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Johns Hopkins University'}]",Johns Hopkins University
"[{'institutes': [{'institute': {'id': 'grid.17063.33', 'name': 'University of Toronto', 'city': 'Toronto', 'state': 'Ontario', 'country': 'Canada'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 6167865, 'name': 'Toronto'}], 'states': [{'geonames_id': 6093943, 'name': 'Ontario', 'code': 'CA-ON'}], 'countries': [{'geonames_id': 6251999, 'name': 'Canada', 'code': 'CA'}]}, 'affiliation_part': 'University of Toronto'}]",University of Toronto
"[{'institutes': [{'institute': {'id': 'grid.24515.37', 'name': 'Hong Kong University of Science and Technology', 'city': 'Hong Kong', 'state': 'Hong Kong', 'country': 'China'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 1819729, 'name': 'Hong Kong'}], 'states': [{'geonames_id': 7533598, 'name': 'Central and Western', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'The Hong Kong University of Science and Technology (HKUST)'}]",The Hong Kong University of Science and Technology (HKUST)
"[{'institutes': [{'institute': {'id': 'grid.5379.8', 'name': 'University of Manchester', 'city': 'Manchester', 'state': 'Manchester', 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2643123, 'name': 'Manchester'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': 'The University of Manchester'}]",The University of Manchester
"[{'institutes': [{'institute': {'id': 'grid.16753.36', 'name': 'Northwestern University', 'city': 'Evanston', 'state': 'Illinois', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 4891382, 'name': 'Evanston'}], 'states': [{'geonames_id': 4896861, 'name': 'Illinois', 'code': 'US-IL'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'Northwestern University'}]",Northwestern University
"[{'institutes': [{'institute': {'id': 'grid.47840.3f', 'name': 'University of California, Berkeley', 'city': 'Berkeley', 'state': 'California', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5327684, 'name': 'Berkeley'}], 'states': [{'geonames_id': 5332921, 'name': 'California', 'code': 'US-CA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of California, Berkeley (UCB)'}]","University of California, Berkeley (UCB)"
"[{'institutes': [{'institute': {'id': 'grid.1001.0', 'name': 'Australian National University', 'city': 'Canberra', 'state': 'Australian Capital Territory', 'country': 'Australia'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2172517, 'name': 'Canberra'}], 'states': [{'geonames_id': 2177478, 'name': 'ACT', 'code': 'AU-ACT'}], 'countries': [{'geonames_id': 2077456, 'name': 'Australia', 'code': 'AU'}]}, 'affiliation_part': 'Australian National University (ANU)'}]",Australian National University (ANU)
"[{'institutes': [{'institute': {'id': 'grid.13097.3c', 'name': ""King's College London"", 'city': 'London', 'state': None, 'country': 'United Kingdom'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 2643743, 'name': 'London'}], 'states': [{'geonames_id': 6269131, 'name': 'England', 'code': None}], 'countries': [{'geonames_id': 2635167, 'name': 'United Kingdom', 'code': 'GB'}]}, 'affiliation_part': ""King's College London (KCL)""}]",King's College London (KCL)
"[{'institutes': [{'institute': {'id': 'grid.14709.3b', 'name': 'McGill University', 'city': 'Montreal', 'state': 'Quebec', 'country': 'Canada'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 6077243, 'name': 'Montreal'}], 'states': [{'geonames_id': 6115047, 'name': 'Quebec', 'code': 'CA-QC'}], 'countries': [{'geonames_id': 6251999, 'name': 'Canada', 'code': 'CA'}]}, 'affiliation_part': 'McGill University'}]",McGill University
"[{'institutes': [{'institute': {'id': 'grid.8547.e', 'name': 'Fudan University', 'city': 'Shanghai', 'state': 'Shanghai', 'country': 'China'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1796236, 'name': 'Shanghai'}], 'states': [{'geonames_id': 1796231, 'name': 'Shanghai', 'code': None}], 'countries': [{'geonames_id': 1814991, 'name': 'China', 'code': 'CN'}]}, 'affiliation_part': 'Fudan University'}]",Fudan University
"[{'institutes': [{'institute': {'id': 'grid.137628.9', 'name': 'New York University', 'city': 'New York', 'state': 'New York', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5128581, 'name': 'New York City'}], 'states': [{'geonames_id': 5128638, 'name': 'New York', 'code': 'US-NY'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'New York University (NYU)'}]",New York University (NYU)
"[{'institutes': [{'institute': {'id': 'grid.19006.3e', 'name': 'University of California, Los Angeles', 'city': 'Los Angeles', 'state': 'California', 'country': 'United States'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 5368361, 'name': 'Los Angeles'}], 'states': [{'geonames_id': 5332921, 'name': 'California', 'code': 'US-CA'}], 'countries': [{'geonames_id': 6252001, 'name': 'United States', 'code': 'US'}]}, 'affiliation_part': 'University of California, Los Angeles (UCLA)'}]","University of California, Los Angeles (UCLA)"
"[{'institutes': [{'institute': {'id': 'grid.31501.36', 'name': 'Seoul National University', 'city': 'Seoul', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1835848, 'name': 'Seoul'}], 'states': [{'geonames_id': 1835847, 'name': 'Seoul', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'Seoul National University (SNU)'}]",Seoul National University (SNU)
"[{'institutes': [{'institute': {'id': 'grid.258799.8', 'name': 'Kyoto University', 'city': 'Kyoto', 'state': None, 'country': 'Japan'}, 'metadata': {'requires_manual_review': False}}], 'geo': {'cities': [{'geonames_id': 1857910, 'name': 'Kyoto'}], 'states': [{'geonames_id': 1857907, 'name': 'Kyoto', 'code': None}], 'countries': [{'geonames_id': 1861060, 'name': 'Japan', 'code': 'JP'}]}, 'affiliation_part': 'Kyoto University'}]",Kyoto University
"[{'institutes': [{'institute': {'id': 'grid.37172.30', 'name': 'Korea Advanced Institute of Science and Technology', 'city': 'Daejeon', 'state': None, 'country': 'South Korea'}, 'metadata': {'requires_manual_review': True}}], 'geo': {'cities': [{'geonames_id': 1835235, 'name': 'Daejeon'}], 'states': [{'geonames_id': 1835224, 'name': 'Daejeon', 'code': None}], 'countries': [{'geonames_id': 1835841, 'name': 'South Korea', 'code': 'KR'}]}, 'affiliation_part': 'KAIST - Korea Advanced Institute of Science and Technology'}]",KAIST - Korea Advanced Institute of Science and Technology
